keyword,provider,page,sample_scope,total,fit,adjacent,badcase,failed,badcase_rate
lifestyle,nox,100,common_depth_sample,50,33,8,9,0,18.0%
lifestyle,nox,101,common_depth_sample,50,31,11,8,0,16.0%
lifestyle,nox,102,common_depth_sample,50,40,6,4,0,8.0%
lifestyle,nox,103,common_depth_sample,50,38,8,4,0,8.0%
lifestyle,nox,104,common_depth_sample,50,31,11,8,0,16.0%
lifestyle,nox,105,common_depth_sample,50,34,10,6,0,12.0%
lifestyle,nox,191,common_depth_sample,50,33,12,5,0,10.0%
lifestyle,nox,192,common_depth_sample,50,26,14,10,0,20.0%
lifestyle,nox,193,common_depth_sample,50,35,7,8,0,16.0%
lifestyle,nox,194,common_depth_sample,50,27,16,7,0,14.0%
lifestyle,nox,195,common_depth_sample,50,32,13,5,0,10.0%
lifestyle,nox,196,common_depth_sample,50,37,9,4,0,8.0%
lifestyle,nox,197,common_depth_sample,50,35,7,8,0,16.0%
lifestyle,nox,198,common_depth_sample,50,36,6,8,0,16.0%
lifestyle,nox,199,common_depth_sample,50,20,21,9,0,18.0%
lifestyle,nox,200,common_depth_sample,50,35,9,6,0,12.0%
lifestyle,xtb,1,common_depth_sample,50,50,0,0,0,0.0%
lifestyle,xtb,2,common_depth_sample,50,48,2,0,0,0.0%
lifestyle,xtb,3,common_depth_sample,50,49,0,1,0,2.0%
lifestyle,xtb,4,common_depth_sample,50,47,3,0,0,0.0%
lifestyle,xtb,5,common_depth_sample,50,49,1,0,0,0.0%
lifestyle,xtb,6,common_depth_sample,50,46,3,1,0,2.0%
lifestyle,xtb,7,common_depth_sample,50,45,4,1,0,2.0%
lifestyle,xtb,8,common_depth_sample,50,46,4,0,0,0.0%
lifestyle,xtb,9,common_depth_sample,50,49,0,1,0,2.0%
lifestyle,xtb,10,common_depth_sample,50,42,7,1,0,2.0%
lifestyle,xtb,96,common_depth_sample,50,37,7,6,0,12.0%
lifestyle,xtb,97,common_depth_sample,50,41,4,5,0,10.0%
lifestyle,xtb,98,common_depth_sample,50,37,7,6,0,12.0%
lifestyle,xtb,99,common_depth_sample,50,40,6,4,0,8.0%
lifestyle,xtb,100,common_depth_sample,50,36,10,4,0,8.0%
lifestyle,xtb,101,common_depth_sample,50,37,7,6,0,12.0%
lifestyle,xtb,102,common_depth_sample,50,43,7,0,0,0.0%
lifestyle,xtb,103,common_depth_sample,50,38,8,4,0,8.0%
lifestyle,xtb,104,common_depth_sample,50,39,6,5,0,10.0%
lifestyle,xtb,105,common_depth_sample,50,33,8,9,0,18.0%
lifestyle,xtb,191,common_depth_sample,50,36,7,7,0,14.0%
lifestyle,xtb,192,common_depth_sample,50,29,12,9,0,18.0%
lifestyle,xtb,193,common_depth_sample,50,36,11,3,0,6.0%
lifestyle,xtb,194,common_depth_sample,50,31,13,6,0,12.0%
lifestyle,xtb,195,common_depth_sample,50,25,16,9,0,18.0%
lifestyle,xtb,196,common_depth_sample,50,37,8,5,0,10.0%
lifestyle,xtb,197,common_depth_sample,50,32,11,7,0,14.0%
lifestyle,xtb,198,common_depth_sample,50,33,9,8,0,16.0%
lifestyle,xtb,199,common_depth_sample,50,35,7,8,0,16.0%
lifestyle,xtb,200,common_depth_sample,50,39,4,7,0,14.0%
power bank,nox,1,common_depth_sample,50,14,23,13,0,26.0%
power bank,nox,2,common_depth_sample,50,22,13,15,0,30.0%
power bank,nox,3,common_depth_sample,50,32,8,10,0,20.0%
power bank,nox,4,common_depth_sample,50,13,27,10,0,20.0%
power bank,nox,5,common_depth_sample,50,13,23,14,0,28.0%
power bank,nox,6,common_depth_sample,50,14,25,11,0,22.0%
power bank,nox,7,common_depth_sample,50,12,26,12,0,24.0%
power bank,nox,8,common_depth_sample,50,7,27,16,0,32.0%
power bank,nox,9,common_depth_sample,50,6,20,24,0,48.0%
power bank,nox,10,common_depth_sample,50,2,13,35,0,70.0%
power bank,nox,96,common_depth_sample,50,3,6,41,0,82.0%
power bank,nox,97,common_depth_sample,50,2,14,34,0,68.0%
power bank,nox,98,common_depth_sample,50,1,11,38,0,76.0%
power bank,nox,99,common_depth_sample,50,4,14,32,0,64.0%
power bank,nox,100,common_depth_sample,50,1,11,38,0,76.0%
power bank,nox,101,common_depth_sample,50,1,6,43,0,86.0%
power bank,nox,102,common_depth_sample,50,4,18,28,0,56.0%
power bank,nox,103,common_depth_sample,50,1,12,37,0,74.0%
power bank,nox,104,common_depth_sample,50,2,12,36,0,72.0%
power bank,nox,105,common_depth_sample,50,0,9,41,0,82.0%
power bank,nox,191,common_depth_sample,50,2,9,39,0,78.0%
power bank,nox,192,common_depth_sample,50,2,11,37,0,74.0%
power bank,nox,193,common_depth_sample,50,2,17,31,0,62.0%
power bank,nox,194,common_depth_sample,50,0,12,38,0,76.0%
power bank,nox,195,common_depth_sample,50,1,10,39,0,78.0%
power bank,nox,196,common_depth_sample,50,0,14,36,0,72.0%
power bank,nox,197,common_depth_sample,50,3,13,34,0,68.0%
power bank,nox,198,common_depth_sample,50,2,14,34,0,68.0%
power bank,nox,199,common_depth_sample,50,0,11,39,0,78.0%
power bank,nox,200,common_depth_sample,50,2,10,38,0,76.0%
power bank,xtb,1,common_depth_sample,50,39,8,3,0,6.0%
power bank,xtb,2,common_depth_sample,50,29,10,11,0,22.0%
power bank,xtb,3,common_depth_sample,50,27,14,9,0,18.0%
power bank,xtb,4,common_depth_sample,50,21,13,16,0,32.0%
power bank,xtb,5,common_depth_sample,50,23,16,11,0,22.0%
power bank,xtb,6,common_depth_sample,50,21,14,15,0,30.0%
power bank,xtb,7,common_depth_sample,50,23,20,7,0,14.0%
power bank,xtb,8,common_depth_sample,50,14,19,17,0,34.0%
power bank,xtb,9,common_depth_sample,50,14,20,16,0,32.0%
power bank,xtb,10,common_depth_sample,50,16,24,10,0,20.0%
power bank,xtb,96,common_depth_sample,50,6,5,39,0,78.0%
power bank,xtb,97,common_depth_sample,50,6,7,37,0,74.0%
power bank,xtb,98,common_depth_sample,50,10,12,28,0,56.0%
power bank,xtb,99,common_depth_sample,50,7,9,34,0,68.0%
power bank,xtb,100,common_depth_sample,50,9,12,29,0,58.0%
power bank,xtb,101,common_depth_sample,50,9,7,34,0,68.0%
power bank,xtb,102,common_depth_sample,50,7,12,31,0,62.0%
power bank,xtb,103,common_depth_sample,50,6,13,31,0,62.0%
power bank,xtb,104,common_depth_sample,50,10,9,31,0,62.0%
power bank,xtb,105,common_depth_sample,50,5,13,32,0,64.0%
power bank,xtb,191,common_depth_sample,50,0,2,48,0,96.0%
power bank,xtb,192,common_depth_sample,50,2,7,41,0,82.0%
power bank,xtb,193,common_depth_sample,50,2,5,43,0,86.0%
power bank,xtb,194,common_depth_sample,50,0,8,42,0,84.0%
power bank,xtb,195,common_depth_sample,50,1,4,45,0,90.0%
power bank,xtb,196,common_depth_sample,50,1,5,44,0,88.0%
power bank,xtb,197,common_depth_sample,50,4,3,43,0,86.0%
power bank,xtb,198,common_depth_sample,50,3,9,38,0,76.0%
power bank,xtb,199,common_depth_sample,50,3,3,44,0,88.0%
power bank,xtb,200,common_depth_sample,50,1,7,42,0,84.0%
swim vest,nox,1,common_depth_sample,50,1,7,42,0,84.0%
swim vest,nox,2,common_depth_sample,20,0,3,17,0,85.0%
swim vest,xtb,1,common_depth_sample,50,13,8,29,0,58.0%
swim vest,xtb,2,common_depth_sample,50,4,19,27,0,54.0%
vacuum cleaner,nox,1,common_depth_sample,50,17,5,28,0,56.0%
vacuum cleaner,nox,2,common_depth_sample,50,28,3,19,0,38.0%
vacuum cleaner,nox,3,common_depth_sample,50,26,4,20,0,40.0%
vacuum cleaner,nox,4,common_depth_sample,50,23,10,17,0,34.0%
vacuum cleaner,nox,5,common_depth_sample,50,18,17,15,0,30.0%
vacuum cleaner,nox,6,common_depth_sample,50,18,13,19,0,38.0%
vacuum cleaner,nox,7,common_depth_sample,50,8,20,22,0,44.0%
vacuum cleaner,nox,8,common_depth_sample,50,11,12,27,0,54.0%
vacuum cleaner,nox,9,common_depth_sample,50,11,16,23,0,46.0%
vacuum cleaner,nox,10,common_depth_sample,50,8,14,28,0,56.0%
vacuum cleaner,nox,96,common_depth_sample,50,0,6,44,0,88.0%
vacuum cleaner,nox,97,common_depth_sample,50,0,8,42,0,84.0%
vacuum cleaner,nox,98,common_depth_sample,50,1,8,41,0,82.0%
vacuum cleaner,nox,99,common_depth_sample,50,0,2,48,0,96.0%
vacuum cleaner,nox,100,common_depth_sample,50,2,6,42,0,84.0%
vacuum cleaner,nox,101,common_depth_sample,50,0,3,47,0,94.0%
vacuum cleaner,nox,102,common_depth_sample,50,1,4,45,0,90.0%
vacuum cleaner,nox,103,common_depth_sample,50,1,5,44,0,88.0%
vacuum cleaner,nox,104,common_depth_sample,50,1,6,43,0,86.0%
vacuum cleaner,nox,105,common_depth_sample,50,0,4,46,0,92.0%
vacuum cleaner,nox,191,common_depth_sample,50,0,3,47,0,94.0%
vacuum cleaner,nox,192,common_depth_sample,50,1,9,40,0,80.0%
vacuum cleaner,nox,193,common_depth_sample,50,0,6,44,0,88.0%
vacuum cleaner,nox,194,common_depth_sample,50,1,5,44,0,88.0%
vacuum cleaner,nox,195,common_depth_sample,50,0,7,43,0,86.0%
vacuum cleaner,nox,196,common_depth_sample,50,1,8,41,0,82.0%
vacuum cleaner,nox,197,common_depth_sample,50,0,6,44,0,88.0%
vacuum cleaner,nox,198,common_depth_sample,50,0,8,42,0,84.0%
vacuum cleaner,nox,199,common_depth_sample,50,0,5,45,0,90.0%
vacuum cleaner,nox,200,common_depth_sample,50,0,7,43,0,86.0%
vacuum cleaner,xtb,1,common_depth_sample,50,33,7,10,0,20.0%
vacuum cleaner,xtb,2,common_depth_sample,50,36,4,10,0,20.0%
vacuum cleaner,xtb,3,common_depth_sample,50,19,15,16,0,32.0%
vacuum cleaner,xtb,4,common_depth_sample,50,19,12,19,0,38.0%
vacuum cleaner,xtb,5,common_depth_sample,50,22,16,12,0,24.0%
vacuum cleaner,xtb,6,common_depth_sample,50,15,13,22,0,44.0%
vacuum cleaner,xtb,7,common_depth_sample,50,15,14,21,0,42.0%
vacuum cleaner,xtb,8,common_depth_sample,50,14,12,24,0,48.0%
vacuum cleaner,xtb,9,common_depth_sample,50,13,14,23,0,46.0%
vacuum cleaner,xtb,10,common_depth_sample,50,16,9,25,0,50.0%
vacuum cleaner,xtb,96,common_depth_sample,50,4,5,41,0,82.0%
vacuum cleaner,xtb,97,common_depth_sample,50,1,5,44,0,88.0%
vacuum cleaner,xtb,98,common_depth_sample,50,6,5,39,0,78.0%
vacuum cleaner,xtb,99,common_depth_sample,50,2,9,39,0,78.0%
vacuum cleaner,xtb,100,common_depth_sample,50,6,6,38,0,76.0%
vacuum cleaner,xtb,101,common_depth_sample,50,3,4,43,0,86.0%
vacuum cleaner,xtb,102,common_depth_sample,50,1,6,43,0,86.0%
